"","EA_Dataset","PU_Gap_Code","Reach_Name","Event_Date","REP","COUNT","SAMPTYPE","LAB_NAME","LAB_ID","TAXONOMIST","LAB_TAXON","TAXON_NAME","LIFE_STAGE","ABUNDANCE","NUM_IN_RC","IMMATURE","INDETERMINATE","CONDITION","LARGE_RARE_TAXA","DISTINCT","AGGREGATED","LAB_COMMENTS","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","ITIS_TAXON_SN"
"30","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","A. Navesky","3329","Musculium transversum","Larvae",3,NA,"N","N","N","N","Y",2,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","Musculium transversum",NA,NA,81428
"31","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","A. Navesky","2377","Erpobdella sp.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Hirudinida","Euhirudinea","","Arhynchobdellida","Erpobdelliformes","","","Erpobdellidae","","",NA,"Erpobdella","","sp.",NA,NA,69444
"32","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","L. Flaherty","5","Lumbricina","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Opisthopora","Lumbricina","","","","","",NA,"","","",NA,NA,69069
"33","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","A. Navesky","2384","Placobdella sp.","Larvae",1,1,"N","N","Y","N","Y",0,"in molting process","Animalia","Annelida","","Clitellata","Hirudinida","Euhirudinea","","Rhynchobdellida","","","","Glossiphoniidae","","",NA,"Placobdella","","sp.",NA,NA,69363
"34","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","L. Flaherty","28","Naididae","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,68854
"35","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","A. Navesky","93","Physa sp.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Lymneoidea","Physidae","","",NA,"Physa","","sp.",NA,NA,76677
"36","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","930","Chironomus sp.","Larvae",20,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Chironomus","","sp.",NA,NA,129254
"37","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","931","Cladopelma sp.","Larvae",1,1,"N","N","N","N","Y",0,"#71","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Cladopelma","","sp.",NA,NA,129350
"38","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","934","Cryptochironomus sp.","Larvae",14,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Cryptochironomus","","sp.",NA,NA,129368
"39","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","950","Glyptotendipes sp.","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Glyptotendipes","","sp.",NA,NA,129483
"40","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","956","Microtendipes pedellus gr.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Microtendipes","","Microtendipes pedellus gr.",NA,NA,NA
"41","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","970","Paratendipes sp.","Larvae",6,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Paratendipes","","sp.",NA,NA,129623
"42","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","973","Phaenopsectra sp.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Phaenopsectra","","sp.",NA,NA,129637
"43","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","975","Polypedilum flavum","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum flavum",NA,NA,NA
"44","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","3320","Polypedilum halterale gr.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum halterale gr.",NA,NA,NA
"45","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","979","Polypedilum illinoense gr.","Larvae",21,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Polypedilum","","Polypedilum illinoense gr.",NA,NA,NA
"46","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","799","Procladius sp.","Larvae",3,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Procladiini",NA,"Procladius","","sp.",NA,NA,128277
"47","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","800","Psectrotanypus sp.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Macropelopiini",NA,"Psectrotanypus","","sp.",NA,NA,128048
"48","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","1345","Saetheria sp.","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Saetheria","","sp.",NA,NA,129735
"49","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","996","Stictochironomus sp.","Larvae",5,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Stictochironomus","","sp.",NA,NA,129785
"50","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","1029","Tanytarsus sp.","Larvae",4,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini",NA,"Tanytarsus","","sp.",NA,NA,129978
"51","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","805","Thienemannimyia gr. sp.","Larvae",4,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Thienemannimyia gr.","","sp.",NA,NA,NA
"52","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","998","Tribelos jucundum","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Tribelos","","Tribelos jucundum",NA,NA,NA
"53","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","G. Wallace","807","Zavrelimyia sp.","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Zavrelimyia","","sp.",NA,NA,128259
"54","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","A. Navesky","738","Simulium sp.","Larvae",5,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Simuliidae","","",NA,"Simulium","","sp.",NA,NA,126774
"55","1","kasky1025","kasky1025","7/12/2017",NA,254,"Freshwater","EcoAnalysts","7824.04-36","A. Navesky","544","Cheumatopsyche sp.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Trichoptera","","","","Hydropsychidae","Hydropsychinae","",NA,"Cheumatopsyche","","sp.",NA,NA,115408
"56","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","102","Musculium sp.","Larvae",3,NA,"N","N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,81427
"57","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","103","Pisidium sp.","Larvae",6,NA,"N","N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Pisidium","","sp.",NA,NA,81400
"58","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","104","Sphaerium sp.","Larvae",12,NA,"N","N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Sphaerium","","sp.",NA,NA,81391
"59","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","2377","Erpobdella sp.","Larvae",3,NA,"N","N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Hirudinida","Euhirudinea","","Arhynchobdellida","Erpobdelliformes","","","Erpobdellidae","","",NA,"Erpobdella","","sp.",NA,NA,69444
"60","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","3483","Placobdella ornata","Larvae",1,1,"N","N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Hirudinida","Euhirudinea","","Rhynchobdellida","","","","Glossiphoniidae","","",NA,"Placobdella","","Placobdella ornata",NA,NA,69366
"61","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","L. Flaherty","28","Naididae","Larvae",5,NA,"N","N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","","",NA,"","","",NA,NA,68854
"62","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","93","Physa sp.","Larvae",8,NA,"N","N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Lymneoidea","Physidae","","",NA,"Physa","","sp.",NA,NA,76677
"63","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","1187","Planorbella sp.","Larvae",2,NA,"N","N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Planorboidea","Planorbidae","","",NA,"Planorbella","","sp.",NA,NA,76654
"64","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","J. Pfeiffer","1907","Scirtidae","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","","","Scirtidae","","",NA,"","","",NA,NA,113924
"65","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","768","Ablabesmyia mallochi","Larvae",23,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Ablabesmyia","","Ablabesmyia mallochi",NA,NA,128097
"66","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","768","Ablabesmyia mallochi","Pupae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini",NA,"Ablabesmyia","","Ablabesmyia mallochi",NA,NA,128097
"67","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","934","Cryptochironomus sp.","Larvae",6,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Cryptochironomus","","sp.",NA,NA,129368
"68","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","941","Dicrotendipes lucifer","Larvae",1,1,"N","N","N","N","Y",0,"#60","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Dicrotendipes","","Dicrotendipes lucifer",NA,NA,129458
"69","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","3662","Dicrotendipes neomodestus","Larvae",12,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Dicrotendipes","","Dicrotendipes neomodestus",NA,NA,129450
"70","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","1015","Paratanytarsus sp.","Larvae",5,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini",NA,"Paratanytarsus","","sp.",NA,NA,129935
"71","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","970","Paratendipes sp.","Larvae",1,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Paratendipes","","sp.",NA,NA,129623
"72","1","kasky1038","kasky1038","8/1/2016 ",NA,271,"Freshwater","EcoAnalysts","7824.02-16","G. Wallace","973","Phaenopsectra sp.","Larvae",7,NA,"N","N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini",NA,"Phaenopsectra","","sp.",NA,NA,129637
