TAXON_NAME,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Palmacorixa sp.,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Palmacorixa,NA,sp.,NA
Parachironomus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Parachironomus,NA,sp.,NA
Paracladopelma sp.,8,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paracladopelma,NA,sp.,NA
Paralauterborniella nigrohalteralis,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paralauterborniella,NA,Paralauterborniella nigrohalteralis,NA
Paratanytarsus sp.,58,39,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Paratanytarsus,NA,sp.,NA
Paratendipes sp.,18,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paratendipes,NA,sp.,NA
Peltodytes sp.,9,8,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Haliplidae,NA,NA,NA,Peltodytes,NA,sp.,NA
Phaenopsectra sp.,8,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Phaenopsectra,NA,sp.,NA
Physa sp.,126,14,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Physidae,NA,NA,NA,Physa,NA,sp.,NA
Pisidium sp.,21,6,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Pisidium,NA,sp.,NA
Planorbella sp.,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Planorbella,NA,sp.,NA
Polypedilum fallax gr.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum fallax gr.,NA
Polypedilum flavum,132,53,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum flavum,NA
Polypedilum halterale gr.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum halterale gr.,NA
Polypedilum illinoense gr.,103,56,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum illinoense gr.,NA
Polypedilum scalaenum gr.,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Polypedilum,NA,Polypedilum scalaenum gr.,NA
Procladius sp.,14,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Procladiini,NA,Procladius,NA,sp.,NA
Psectrotanypus sp.,4,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Macropelopiini,NA,Psectrotanypus,NA,sp.,NA
Pseudosuccinea columella,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,Pseudosuccinea,NA,Pseudosuccinea columella,NA
Psychodidae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Psychodidae,NA,NA,NA,NA,NA,NA,NA
Ranatra sp.,3,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Nepidae,NA,NA,NA,Ranatra,NA,sp.,NA
Rheocricotopus sp.,4,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Rheocricotopus,NA,sp.,NA
Rheotanytarsus exiguus gr.,20,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Rheotanytarsus,NA,Rheotanytarsus exiguus gr.,NA
Rheotanytarsus pellucidus gr.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Rheotanytarsus,NA,Rheotanytarsus pellucidus gr.,NA
Robackia sp.,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Robackia,NA,sp.,NA
Saetheria sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Saetheria,NA,sp.,NA
Saetheria tylus,43,22,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Saetheria,NA,Saetheria tylus,NA
Sigara sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Sigara,NA,sp.,NA
Simulium sp.,6,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Simuliidae,NA,NA,NA,Simulium,NA,sp.,NA
Sphaeriidae,1,1,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,NA,NA,NA,NA
Sphaerium sp.,66,7,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Sphaerium,NA,sp.,NA
Stempellinella sp.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Stempellinella,NA,sp.,NA
Stenelmis sp.,114,27,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Stenelmis,NA,sp.,NA
Stenochironomus sp.,14,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Stenochironomus,NA,sp.,NA
Stictochironomus sp.,6,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Stictochironomus,NA,sp.,NA
Tanypus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Tanypodini,NA,Tanypus,NA,sp.,NA
Tanytarsus sp.,199,74,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Tanytarsus,NA,sp.,NA
Thermonectus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Dytiscinae,NA,NA,Thermonectus,NA,sp.,NA
Thienemanniella sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Thienemanniella,NA,sp.,NA
Thienemannimyia gr. sp.,70,38,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Thienemannimyia gr.,NA,sp.,NA
Tipulidae,12,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,NA,NA,NA,NA,NA,NA,NA
Tribelos jucundum,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Tribelos,NA,Tribelos jucundum,NA
Trichocorixa sp.,25,10,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Trichocorixa,NA,sp.,NA
Trichoptera,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropisternus sp.,5,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Tropisternus,NA,sp.,NA
Truncatelloidea,1,1,Animalia,Mollusca,NA,Gastropoda,Caenogastropoda,NA,NA,Littoridinomorpha,NA,NA,Truncatelloidea,NA,NA,NA,NA,NA,NA,NA,NA
Unionicola sp.,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Unionicolidae,NA,NA,NA,Unionicola,NA,sp.,NA
Zavrelimyia sp.,7,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Zavrelimyia,NA,sp.,NA
