TAXON_NAME,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Baetis intercalaris,711,47,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Baetis,NA,Baetis intercalaris,NA
Baetis sp.,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Baetis,NA,sp.,NA
Basiaeschna janata,97,45,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Basiaeschna,NA,Basiaeschna janata,NA
Belostoma sp.,5,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Belostomatidae,NA,NA,NA,Belostoma,NA,sp.,NA
Belostomatidae,4,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Belostomatidae,NA,NA,NA,NA,NA,NA,NA
Berosus sp.,72,32,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Berosus,NA,sp.,NA
Bezzia/Palpomyia sp.,7,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,Bezzia/Palpomyia,NA,sp.,NA
Bivalvia,1,1,Animalia,Mollusca,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyeria sp.,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Boyeria,NA,sp.,NA
Boyeria vinosa,14,9,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Boyeria,NA,Boyeria vinosa,NA
Brachycentrus americanus,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Brachycentridae,NA,NA,NA,Brachycentrus,NA,Brachycentrus americanus,NA
Brachycercinae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,Brachycercinae,NA,NA,NA,NA,NA,NA
Brillia sp.,10,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Brillia,NA,sp.,NA
Caecidotea intermedia,99,3,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Caecidotea,NA,Caecidotea intermedia,NA
Caecidotea racovitzai,537,2,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Caecidotea,NA,Caecidotea racovitzai,NA
Caecidotea sp.,571,28,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Caecidotea,NA,sp.,NA
Caenis hilaris,27,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,NA,NA,NA,Caenis,NA,Caenis hilaris,NA
Caenis latipennis,342,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,NA,NA,NA,Caenis,NA,Caenis latipennis,NA
Caenis sp.,1238,74,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Caenidae,NA,NA,NA,Caenis,NA,sp.,NA
Callibaetis sp.,119,31,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Callibaetis,NA,sp.,NA
Calopterygidae,57,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,NA,NA,NA,NA
Calopteryx sp.,197,37,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,Calopteryx,NA,sp.,NA
Cambaridae,386,87,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,NA,NA,NA,NA
Campeloma decisum,3,1,Animalia,Mollusca,NA,Gastropoda,Prosobranchia,NA,NA,Architaenioglossa,NA,NA,NA,Viviparidae,NA,NA,NA,Campeloma,NA,Campeloma decisum,NA
Capniidae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Plecoptera,NA,NA,NA,Capniidae,NA,NA,NA,NA,NA,NA,NA
Cenocorixa sp.,7,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Cenocorixa,NA,sp.,NA
Centroptilum sp.,48,19,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Centroptilum,NA,sp.,NA
Ceraclea sp.,7,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Ceraclea,NA,sp.,NA
Ceratopogonidae,8,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,NA,NA,NA,NA,NA,NA,NA
Ceratopogoninae,34,24,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,NA,NA,NA,NA
Chaoborus sp.,11,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chaoboridae,NA,NA,NA,Chaoborus,NA,sp.,NA
Chauliodes sp.,7,6,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Chauliodinae,NA,NA,Chauliodes,NA,sp.,NA
Chauliodinae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Chauliodinae,NA,NA,NA,NA,NA,NA
Cheumatopsyche sp.,6360,135,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Cheumatopsyche,NA,sp.,NA
Chimarra obscura,12,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Philopotamidae,NA,NA,NA,Chimarra,NA,Chimarra obscura,NA
Chimarra sp.,3,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Philopotamidae,NA,NA,NA,Chimarra,NA,sp.,NA
Chironomini,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,NA,NA,NA,NA
Chironomus sp.,1876,125,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Chironomus,NA,sp.,NA
Chrysops sp.,19,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Tabanidae,NA,NA,NA,Chrysops,NA,sp.,NA
Cincinnatia sp.,79,1,Animalia,Mollusca,NA,Gastropoda,Caenogastropoda,NA,NA,Littoridinomorpha,NA,NA,Truncatelloidea,Hydrobiidae,NA,NA,NA,Cincinnatia,NA,sp.,NA
Cladopelma sp.,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cladopelma,NA,sp.,NA
Cladotanytarsus sp.,2232,95,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Cladotanytarsus,NA,sp.,NA
Clinotanypus sp.,30,14,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Coelotanypodini,NA,Clinotanypus,NA,sp.,NA
Coenagrion/Enallagma sp.,217,29,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Coenagrion/Enallagma,NA,sp.,NA
Coenagrionidae,223,55,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,NA,NA,NA,NA
Copelatus sp.,4,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Copelatinae,NA,NA,Copelatus,NA,sp.,NA
Coptotomus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Coptotomus,NA,sp.,NA
Corbicula sp.,318,36,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Corbiculidae,NA,NA,NA,Corbicula,NA,sp.,NA
Corbiculoidea,1,1,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster sp.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Cordulegastridae,NA,NA,NA,Cordulegaster,NA,sp.,NA
Corduliidae,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Corduliidae,NA,NA,NA,NA,NA,NA,NA
Corixidae,55,23,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,NA,NA,NA,NA
Corydalidae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,NA,NA,NA,NA,NA,NA,NA
Corydalus cornutus,8,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Corydalinae,NA,NA,Corydalus,NA,Corydalus cornutus,NA
Corydalus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Corydalidae,Corydalinae,NA,NA,Corydalus,NA,sp.,NA
Corynoneura sp.,81,30,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Corynoneura,NA,sp.,NA
Crangonyx sp.,57,12,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Crangonyctidae,NA,NA,NA,Crangonyx,NA,sp.,NA
Cricotopus bicinctus gr.,855,69,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus bicinctus gr.,NA
Cricotopus sp.,98,28,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,NA,sp.,NA
Cricotopus trifascia gr.,20,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus,Cricotopus (Cricotopus),Cricotopus trifascia gr.,NA
Cricotopus/Orthocladius sp.,19,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Cricotopus/Orthocladius,NA,sp.,NA
Cryptochironomus sp.,677,136,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cryptochironomus,NA,sp.,NA
Cryptotendipes sp.,229,50,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Cryptotendipes,NA,sp.,NA
Culex sp.,8,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,Culex,NA,sp.,NA
Culicidae,26,13,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Culicidae,NA,NA,NA,NA,NA,NA,NA
Dasyhelea sp.,8,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Dasyheleinae,NA,NA,Dasyhelea,NA,sp.,NA
Dero nivea,2,1,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Naididae,NA,NA,NA,Dero,NA,Dero nivea,NA
Dicrotendipes fumidus,273,46,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes fumidus,NA
Dicrotendipes lobiger,4,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes lobiger,NA
Dicrotendipes lucifer,84,34,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes lucifer,NA
Dicrotendipes modestus,129,32,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes modestus,NA
Dicrotendipes neomodestus,1587,120,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes neomodestus,NA
Dicrotendipes simpsoni,172,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes simpsoni,NA
Dicrotendipes sp.,76,26,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,sp.,NA
Diplocladius sp.,27,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Diplocladius,NA,sp.,NA
Diptera,12,12,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dixa sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Dixidae,NA,NA,NA,Dixa,NA,sp.,NA
Dixella sp.,21,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Dixidae,NA,NA,NA,Dixella,NA,sp.,NA
Dolichopodidae,9,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Dolichopodidae,NA,NA,NA,NA,NA,NA,NA
Dubiraphia sp.,388,47,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Dubiraphia,NA,sp.,NA
Empididae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Empididae,NA,NA,NA,NA,NA,NA,NA
Enallagma sp.,8,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Enallagma,NA,sp.,NA
Enchytraeidae,19,15,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Enchytraeida,NA,NA,NA,Enchytraeidae,NA,NA,NA,NA,NA,NA,NA
Endochironomus sp.,47,12,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Endochironomus,NA,sp.,NA
Enochrus sp.,10,9,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Enochrus,NA,sp.,NA
Ephydridae,16,13,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Ephydridae,NA,NA,NA,NA,NA,NA,NA
Epitheca sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Corduliidae,NA,NA,NA,Epitheca,NA,sp.,NA
Erioptera sp.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Eriopterini,NA,Erioptera,NA,sp.,NA
Erpobdella sp.,139,44,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Arhynchobdellida,Erpobdelliformes,NA,NA,Erpobdellidae,NA,NA,NA,Erpobdella,NA,sp.,NA
Erythemis simplicicollis,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Erythemis,NA,Erythemis simplicicollis,NA
Eukiefferiella claripennis gr.,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Eukiefferiella,NA,Eukiefferiella claripennis gr.,NA
Ferrissia sp.,2,2,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Ferrissia,NA,sp.,NA
Forcipomyia sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Forcipomyiinae,NA,NA,Forcipomyia,NA,sp.,NA
Fossaria sp.,2,1,Animalia,Mollusca,NA,Gastropoda,NA,NA,NA,Basommatophora,NA,NA,NA,Lymnaeidae,NA,NA,NA,Fossaria,NA,sp.,NA
Galba sp.,7,5,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,Galba,NA,sp.,NA
Gammaridae,1,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Gammaridae,NA,NA,NA,NA,NA,NA,NA
Gammarus sp.,1296,48,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Gammaridae,NA,NA,NA,Gammarus,NA,sp.,NA
Glossiphoniidae,2,2,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,NA,NA,NA,NA
Glyptotendipes sp.,323,64,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Glyptotendipes,NA,sp.,NA
Goeldichironomus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Goeldichironomus,NA,sp.,NA
Gomphidae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Gomphidae,NA,NA,NA,NA,NA,NA,NA
Gomphus sp.,10,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Gomphidae,NA,NA,NA,Gomphus,NA,sp.,NA
Gonomyia sp.,16,9,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Eriopterini,NA,Gonomyia,NA,sp.,NA
Gyraulus sp.,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Gyraulus,NA,sp.,NA
Haemopis sp.,1,1,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Arhynchobdellida,Hirudiniformes,NA,NA,Haemopidae,NA,NA,NA,Haemopis,NA,sp.,NA
Haliplidae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Haliplidae,NA,NA,NA,NA,NA,NA,NA
